Output,Cit
84.18,83.47666667
84.66,83.47444444
85,83.47
86.28222222,83.45666667
86.20444444,83.45555556
86.20333333,83.42222222
85.40777778,83.41888889
85.90555556,83.41
85.66111111,83.40666667
85.53666667,83.40666667
86.47666667,83.38888889
85.13444444,83.37555556
85.24555556,83.36888889
85.96,83.34
86.15444444,83.33777778
86.59222222,83.33555556
85.12,83.32222222
85.54,83.30666667
85.16777778,83.29
84.72888889,83.27222222
85.80444444,83.27
85.82888889,83.25777778
84.66,83.25
86.06777778,83.20444444
85.32222222,83.20333333
84.20555556,83.17888889
86.47777778,83.15444444
86.44444444,83.13555556
85.79888889,83.13555556
84.59111111,83.11777778
86.27333333,83.08222222
86.60888889,83.07111111
86.27222222,83.01555556
85.95444444,83.01111111
86.53888889,83
86.42888889,83
86.41444444,83
86.18777778,83
86.14444444,83
86.13888889,83
85.86333333,83
85.82111111,83
85.64111111,83
85.05666667,83
84.86333333,83
84.79555556,83
84.67777778,83
84.13666667,83
85.42777778,82.99555556
84.94444444,82.99111111
85.79555556,82.93222222
86.40555556,82.93111111
85.20888889,82.93
84.80666667,82.90555556
86.13888889,82.88888889
85.95555556,82.87555556
85.97666667,82.86666667
86.27444444,82.86444444
85.61222222,82.86333333
85.32,82.86333333
84.59444444,82.86333333
85.37333333,82.82444444
86.07222222,82.80666667
85.13,82.80666667
85.88222222,82.79777778
85,82.79666667
86.19888889,82.78666667
86.60888889,82.76888889
85.71555556,82.76222222
86.72888889,82.75444444
84.91666667,82.74777778
84.86333333,82.73111111
85.70444444,82.72888889
84.22888889,82.72777778
84.96444444,82.72555556
85.27111111,82.71888889
86.06,82.67444444
85.83222222,82.67
86,82.66
85.94666667,82.66
85.79333333,82.63444444
86.76333333,82.63222222
85.11444444,82.62777778
85.52666667,82.61
85.38111111,82.60555556
85.86333333,82.6
85.78444444,82.58222222
86.06222222,82.56666667
85.86444444,82.56666667
85.86555556,82.56111111
85,82.56111111
83.85333333,82.55222222
86.27555556,82.54777778
85.47555556,82.54333333
85.19222222,82.54333333
85.79444444,82.54222222
85.45888889,82.54222222
85.27333333,82.54111111
85.47444444,82.52777778
85.66111111,82.52666667
85.93111111,82.46333333
84.88444444,82.46
85,82.45777778
86.64444444,82.37222222
85.81666667,82.35888889
86.84,82.34
85.36888889,82.34
86,82.33555556
85.82666667,82.30222222
85.52555556,82.30222222
85.16555556,82.27111111
87.11777778,82.25777778
85.96333333,82.25111111
86.06777778,82.25
85.32222222,82.23777778
85.83111111,82.22555556
85.86777778,82.21555556
85.13666667,82.20555556
85.82444444,82.20444444
85.29777778,82.20333333
86.46555556,82.20222222
85.86444444,82.18777778
85.00888889,82.18555556
85.66333333,82.17111111
